F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
3.4009,9.018,0,2429.04,1.5729,-6901.08,-13.548,-2204.77,-43.174,-4.3,5.4458,-1.96,-7144.9,1,-4.431,2451.3,12843.744,12.9,-121.72,,FALSE
3.2476,7.4216,1,3365.16,4.396,-8939.28,-12.705,-149.17,-43.03,-3.8674,4.80316,-1.96,-7022.7,0,-6.327,2274.33,12726.42,10.3548,-975.6,,TRUE
2.6765,7.3124,0,3616.86,1.8304,-8944.38,-7.2657,-1898.57,-42.7656,-4.0435,7.014,-1.96,-6071.9,0,-4.377,2111.937,12842.944,21.255,-362.22,,FALSE
3.2465,7.4268,0,2263.965,1.5357,-8197.68,-12.978,-2195.97,-45.507,-5.18,5.3846,-0.96,-6703.3,0,-2.3304,4110.3,12812.392,15.837,-318.68,24.8,TRUE
3.3116,7.6242,0,1669.56,1.5597,-8021.43,-8.9535,-2091.79,-45.52,-6.499,10.118,-0.96,-6999.9,1,-3.0663,3516.6,5396.16,9.69801,-285.372,24.3,TRUE
2.8378,6.9016,1,5232.06,1.3342,-7925.79,-7.5954,-2110.24,-51.738,-6.373,10.576,-0.96,-5440.7,1,-1.4172,9785.1,12770.24,12.1506,-259.12,,FALSE
4.359,8.75,0,2117.85,1.3318,-1819.98,-7.3083,-2206.67,-44.822,-3.40459,6.024,-0.96,-7138.98,1,-3.6333,2414.7,12812.522,11.7921,-92,22.64,FALSE
2.7451,13.19,0,2210.34,3.975,-8009.28,-8.019,-2008.88,-49.477,-4.718,5.9538,-1.96,-6563.7,0,-5.475,1782,12861.26,14.622,-310.314,21.44,FALSE
3.4745,9.356,1,2033.97,1.231266,-8004.45,-11.118,-2065.75,-50.888,-5.05,7.446,-0.96,-7026.1,0,-1.4325,-3618.9,12891.5,10.1523,-310.506,,FALSE
2.9422,11.936,1,2273.337,1.9454,-8072.19,-9.2967,-940.17,-47.47,-4.599,4.9364,-0.96,-7431.22,1,-2.8956,1868.55,12737.82,11.9478,-437.78,22.16,FALSE
2.9247,6.70922,0,2584.86,1.3326,-4555.98,-8.5314,-2851.57,-46.692,-3.5476,4.9514,-0.96,-6774.1,1,-1.5861,7868.1,12980.72,10.1562,701.2,,TRUE
2.9422,6.71534,0,-3046.74,3.389,-7541.28,-7.08009,-2004.82,-72.49,-3.5676,8.122,-1.96,-7835.9,1,-2.9319,2392.56,12841.472,11.2968,-314.174,,FALSE
2.6741,7.7332,1,3433.86,3.966,-7894.3578,-10.464,-2440.57,-47.041,-5.629,5.3282,-1.96,-1961.7,0,-2.0361,793.8,12690.84,14.931,-271.28,23.04,TRUE
2.6549,7.3428,0,1429.26,2.0969,-5057.28,-7.9734,-2379.97,-48.845,-3.40254,5.6064,-1.96,-5793.9,0,-3.51,3656.1,13041.16,11.6016,-64.8,22.7,TRUE
3.2258,12.828,1,2454.03,1.31666,-7933.71,-7.3554,-2149.18,-56.29,-4.398,8.046,-0.96,-6362.9,0,-1.728,6197.1,12827.56,10.6275,-145.34,22.2,TRUE
4.226,9.758,1,2751.36,3.285,-8160.93,-9.2697,-1028.17,-56.32,-4.657,4.846,-0.96,-7054.36,0,-5.898,2351.34,12643.76,10.6182,-679.2,,TRUE
5.021,7.5402,0,3030.06,2.655,-7924.89,-8.9904,-2661.57,-46.594,-7.365,5.1636,-0.96,-6902.9,0,-1.6986,-753.6,12855.34,10.8054,-153.58,21.28,FALSE
2.6515,10.448,1,2326.08,1.4356,-7591.38,-8.052,-2149.02,-41.9956,-4.901,7.01,-1.96,-5029.7,0,-2.4549,2370.36,10350.16,13.773,-199.2,,FALSE
3.541,8.2128,0,2381.88,1.30414,-7385.58,-8.2893,-2224.57,-55.21,-4.38,6.5528,-1.96,-6824.9,0,-2.4129,2128.557,12797.68,10.3029,391.2,19.38,FALSE
2.7338,7.8716,0,2778.96,1.26628,-6334.38,-8.3241,-1972.77,-66.13,-3.6262,6.4502,-0.96,-7619.7,1,-1.34718,11876.1,12853.98,12.675,-268.78,,TRUE
4.859,6.8572,0,1623.06,1.5916,-7542.18,-7.3845,-943.17,-60.89,-4.938,4.80638,-0.96,-7324.1,1,-1.4583,660,13003.16,10.4334,-99.7,18.3,FALSE
2.7919,7.3662,0,3202.26,1.25101,-4633.98,-9.885,-2039.35,-78.62,-3.39901,8.724,-1.96,-7159.02,0,-2.6841,3865.5,12858.06,10.0065,-288.262,19.46,TRUE
3.4099,8.5594,1,2248.86,1.3677,-8980.98,-10.845,-2049.68,-52.51,-3.41414,11.866,-1.96,-7334.84,0,-9.168,2403.6,12556.96,17.229,-315.118,22.14,FALSE
3.668,9.118,1,2672.46,1.231887,-8182.23,-13.407,-2402.77,-45.034,-3.7437,5.0616,-0.96,-6666.7,1,-1.8117,1226.1,12835.322,19.44,-295.774,21.18,TRUE
3.016,7.4418,0,3790.56,2.2294,-7226.58,-9.39,-2019.14,-52.44,-4.398,9.74,-0.96,-7174.04,1,-6.465,1822.71,12833.282,16.428,-291.92,23.32,FALSE
